"Team","N","TotalGuar","AvgGuar","MedGuar","StdDevGuar"
"TOR",29,26559206.65,915834.712068966,209825.25,1883963.03850106
"LAG",27,17507008.3,648407.714814815,174999.96,1205845.83900169
"CHI",28,15531522.67,554697.238214286,124945,1214212.23525633
"NYC",29,14824390.78,511185.888965517,250008,1053485.89124966
"LAFC",29,14134135.99,487383.999655172,147500.08,1161739.68943149
"MTL",31,12642036.9,407807.641935484,150000,850510.662271383
"SEA",27,11777648.29,436209.195925926,196041.67,580676.744635238
"ATL",32,11606330.49,362697.8278125,137501.98,503631.952591397
"SKC",29,11554237.01,398421.965862069,200000.04,437383.822777398
"POR",31,10994792.96,354670.740645161,150000,485842.512649355
"COL",29,9741570.96,335916.24,129996,532218.713490776
"DCU",28,9689537.84,346054.922857143,139750,529562.241317822
"FCD",34,9334556.52,274545.78,174949.96,241658.215366973
"PHI",29,8914581.59,307399.365172414,120762.5,420564.451546407
"ORL",30,8873899.44,295796.648,157000,333062.793609969
"MIN",31,8542121.37,275552.302258065,208761.33,300173.611869248
"SJE",30,8308343.41,276944.780333333,168999.98,300358.750698925
"RSL",31,8132415.56,262335.985806452,173250,258080.853011124
"VAN",31,8107770.17,261540.973225806,159829.33,247094.332974951
"NYRB",31,8064992.45,260161.046774194,115935,343030.649492632
"CLB",29,7715954.14,266067.384137931,145000,279562.798556297
"NER",27,7471669.49,276728.49962963,150512.5,305153.173883492
"HOU",30,5896563.27,196552.109,165085.585,139647.571588065
"CIN",2,2057575.83,1028787.915,1028787.915,1279220.3936754
"NONE",1,1650000.04,1650000.04,1650000.04,NA
